Iteracion,Temperatura,Calidad,Fase
76700,0.000408,3716.870117,0
76800,0.000408,3716.870361,0
76900,0.000376,3716.870361,0
77000,0.000345,3716.870361,0
77100,0.000318,3716.870117,0
77200,0.000292,3716.870361,0
77300,0.000269,3716.870361,0
77400,0.000247,3716.870361,0
77500,0.000228,3716.870117,0
77600,0.000209,3716.870361,0
77700,0.000193,3716.870117,0
77800,0.000177,3716.870117,0
77900,0.000163,3716.870361,0
78000,0.000150,3716.870361,0
78100,0.000138,3716.870361,0
78200,0.000127,3716.870117,0
78300,0.000127,3716.870361,0
78400,0.000117,3716.870117,0
78500,0.000108,3716.870361,0
78600,0.000099,3716.870361,0
78700,0.000091,3716.870117,0
78800,0.000084,3716.870361,0
78900,0.000077,3716.870361,0
79000,0.000071,3716.870361,0
79100,0.000065,3716.870361,0
79200,0.000060,3716.870361,0
79300,0.000055,3716.870117,0
79400,0.000051,3716.870117,0
79500,0.000047,3716.870361,0
79600,0.000043,3716.870361,0
79700,0.000040,3716.870361,0
79800,0.000040,3716.870361,0
79900,0.000036,3716.870361,0
80000,0.000033,3716.870361,0
80100,0.000031,3716.870117,0
80200,0.000028,3716.870361,0
80300,0.000026,3716.870361,0
80400,0.000024,3716.870117,0
80500,0.000022,3716.870361,0
80600,0.000020,3716.870117,0
80700,0.000019,3716.870117,0
80800,0.000017,3716.870117,0
80900,0.000016,3716.870361,0
81000,0.000015,3716.870361,0
81100,0.000013,3716.870361,0
81200,0.000012,3716.870117,0
81300,0.000011,3716.870361,0
81400,0.000011,3716.870361,0
81500,0.000010,3716.870117,0
81600,0.000010,3716.870361,0
81700,0.000009,3716.870117,0
81800,0.000008,3716.870117,0
81900,0.000007,3716.870361,0
82000,0.000007,3716.870117,0
82100,0.000006,3716.870361,0
82200,0.000006,3716.870361,0
82300,0.000005,3716.870117,0
82400,0.000005,3716.870117,0
82500,0.000005,3716.870117,0
82600,0.000004,3716.870361,0
82700,0.000004,3716.870117,0
82800,0.000004,3716.870361,0
82900,0.000004,3716.870361,0
83000,0.000003,3716.870361,0
83100,0.000003,3716.870361,0
83200,0.000003,3716.870117,0
83300,0.000003,3716.870117,0
83400,0.000002,3716.870361,0
83500,0.000002,3716.870361,0
83600,0.000002,3716.870361,0
83700,0.000002,3716.870117,0
83800,0.000002,3716.870361,0
83900,0.000002,3716.870361,0
84000,0.000001,3716.870361,0
84100,0.000001,3716.870117,0
84200,0.000001,3716.870361,0
84300,0.000001,3716.870117,0
84400,0.000001,3716.870117,0
84500,0.000001,3716.870361,0
84600,0.000001,3716.870117,0
84700,0.000001,3716.870361,0
84800,0.000001,3716.870361,0
84900,0.000001,3716.870361,0
85000,0.000001,3716.870117,0
85100,0.000001,3716.870117,0
85200,0.000001,3716.870117,0
85300,0.000001,3716.870361,0
85400,0.000000,3716.870361,0
85500,0.000000,3716.870361,0
85600,0.000000,3716.870361,0
85700,0.000000,3716.870117,0
85800,0.000000,3716.870117,0
85900,0.000000,3716.870117,0
86000,0.000000,3716.870361,0
86100,0.000000,3716.870361,0
86200,0.000000,3716.870117,0
86300,0.000000,3716.870361,0
86400,0.000000,3716.870361,0
86500,0.000000,3716.870361,0
86600,0.000000,3716.870117,0
86700,0.000000,3716.870361,0
86800,0.000000,3716.870117,0
86900,0.000000,3716.870361,0
87000,0.000000,3531.126221,0
